City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Fairburn,US,33.5671,-84.581,64.09,31,59,4.85,broken clouds
289,Worthington,US,40.0931,-83.018,36.75,74,100,1.99,overcast clouds
290,Atar,MR,20.5169,-13.0499,70.57,16,36,13.47,scattered clouds
291,Crixas,BR,-14.5489,-49.9692,69.39,97,100,2.89,overcast clouds
292,George Town,MY,5.4112,100.3354,77.95,93,20,2.3,light rain
293,Mongo,TD,12.1844,18.693,69.75,12,4,6.73,clear sky
294,Ornskoldsvik,SE,63.2909,18.7153,27.55,86,20,16.11,few clouds
295,Itarema,BR,-2.9248,-39.9167,78.96,76,60,8.72,broken clouds
296,Vestmannaeyjar,IS,63.4427,-20.2734,36.79,59,100,13.78,overcast clouds
297,Havelock,US,34.8791,-76.9013,58.98,72,6,3.0,clear sky
298,Careiro Da Varzea,BR,-3.2003,-59.8119,83.03,93,100,2.51,overcast clouds
299,Husavik,IS,66.0449,-17.3389,30.11,76,85,13.96,overcast clouds
300,Ahipara,NZ,-35.1667,173.1667,76.17,89,99,9.78,overcast clouds
301,Fukue,JP,32.6881,128.8419,50.04,49,28,9.6,scattered clouds
302,Khorramshahr,IR,30.4397,48.1664,62.56,72,75,4.61,broken clouds
303,Kahului,US,20.8947,-156.47,77.68,74,20,4.56,few clouds
304,Kotaparh,IN,19.15,82.35,60.4,80,32,2.28,scattered clouds
305,Komsomolskiy,UZ,40.4272,71.7189,35.02,74,100,2.3,overcast clouds
306,Tarnogskiy Gorodok,RU,60.4997,43.5761,25.2,96,100,7.31,light snow
307,Kaeo,NZ,-35.1,173.7833,76.32,98,99,7.49,overcast clouds
308,Camacha,PT,33.0833,-16.3333,63.36,94,20,14.97,few clouds
309,Mandera,KE,3.9366,41.867,79.9,31,2,6.76,clear sky
310,Voh,NC,-20.9667,164.7,79.72,91,100,12.62,overcast clouds
311,Cefalu,IT,38.0386,14.0229,51.55,66,0,1.99,clear sky
312,Severo-Kurilsk,RU,50.6789,156.125,27.82,74,81,7.34,broken clouds
313,Smithers,CA,54.7804,-127.1743,43.12,33,20,17.27,few clouds
314,Luorong,CN,24.4058,109.6086,46.96,92,100,4.81,overcast clouds
315,Najran,SA,17.4924,44.1277,59.65,27,12,2.1,few clouds
316,Riyadh,SA,24.6877,46.7219,64.54,23,0,13.82,clear sky
317,Kholodnyy,RU,62.7167,147.95,-32.28,99,96,1.28,overcast clouds
318,Scarborough,GB,54.2797,-0.4044,41.52,74,65,5.01,broken clouds
319,Kurumkan,RU,54.3,110.3,-16.01,90,79,4.79,broken clouds
320,Fortuna,US,40.5982,-124.1573,78.42,51,0,1.99,clear sky
321,Kainantu,PG,-6.2887,145.8655,65.8,91,96,0.74,overcast clouds
322,Port Blair,IN,11.6667,92.75,77.38,79,27,6.98,scattered clouds
323,Ilulissat,GL,69.2167,-51.1,-12.68,83,100,6.15,overcast clouds
324,Changtu,CN,42.7788,124.0955,21.7,79,100,10.83,overcast clouds
325,Nhulunbuy,AU,-12.2333,136.7667,84.81,84,40,4.61,scattered clouds
326,Noumea,NC,-22.2763,166.4572,80.01,99,100,21.36,moderate rain
327,Melita,CA,49.2681,-100.9967,37.96,87,100,23.29,overcast clouds
328,Porto Belo,BR,-27.1578,-48.5531,78.75,77,9,8.05,clear sky
329,Isangel,VU,-19.55,169.2667,84.31,79,75,16.11,broken clouds
330,Barra Patuca,HN,15.8,-84.2833,77.65,76,12,7.14,few clouds
