City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Hamilton,US,42.75,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
367,Waddan,LY,50.5,clear sky,29.1614,16.139,محل الشريف محمد العايب
368,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
369,Sabha,LY,49.1,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
370,Barabai,ID,72.93,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
371,Chongoyape,PE,79.34,light rain,-6.6406,-79.3892,Hostal Mulato & Chaparri
374,Pemba,MZ,76.3,moderate rain,-12.974,40.5178,Guesthouse Samotina
376,Mossendjo,CG,70.43,light rain,-2.9506,12.7261,HOTEL D'ASSISE
378,Ixtapa,MX,74.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
388,Santa,PH,73.47,broken clouds,17.486,120.4348,Monte Leah Beach Resort
390,Singaparna,ID,71.24,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
394,Apiai,BR,63.1,few clouds,-24.5094,-48.8425,Pousada Villa Branca
395,Ejido,VE,68.63,broken clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
397,Terrace,CA,45.43,overcast clouds,54.5163,-128.6035,Northern Motor Inn
398,Diu,IN,68.74,few clouds,20.7141,70.9822,Hotel Relax Inn
400,Pathalgaon,IN,54.7,clear sky,22.5667,83.4667,Queens Park Marriage Garden
401,Pula,HR,45.46,clear sky,44.8683,13.8481,Park Plaza Histria Pula
405,Laguna,US,77.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
406,Longhua,CN,58.51,overcast clouds,23.6137,114.1919,Huadu Hotel
407,Labuhan,ID,77.5,overcast clouds,-6.8844,112.2051,DoubleFAG
413,Powell River,CA,49.28,mist,49.8496,-124.5361,Rodmay Hotel
415,Petrinja,HR,46.08,clear sky,45.4375,16.29,Gostionica Mis
422,Namibe,AO,72.93,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
424,Vallenar,CL,73.36,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
428,Tapejara,BR,70.92,scattered clouds,-28.0681,-52.0139,Hotel Fontana
431,Pisco,PE,74.01,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
432,Sao Raimundo Nonato,BR,77.83,broken clouds,-9.0153,-42.6994,Real Hotel
436,Wrexham,GB,43.02,clear sky,53.0,-3.0,"Wynnstay Arms, Ruabon"
437,Gien,FR,43.5,overcast clouds,47.6933,2.6309,Hôtel la Poularde
